k,inertia,silhouette_score
2,2517.420602608049,0.4705130148692307
3,1773.5664035459683,0.4692618532647748
4,1336.3409042997491,0.491108078186686
5,947.1620738586394,0.604830248000687
6,736.3721621119631,0.6371286134237294
7,601.3280877214078,0.6674963812938667
8,507.58291678985813,0.7143533393689424
9,460.40965011326784,0.6908554669736011
10,383.3044694619213,0.7532425778422348
