umap_component_1,umap_component_2,umap_component_3,mental_health_risk_score
-3.0985162,11.4064455,22.502073,2
14.456104,-0.39806244,9.167264,1
2.329791,-5.700036,26.113625,2
25.79664,0.48234987,2.4929464,1
0.060554825,22.323402,-4.2493744,2
-3.0497231,11.5227,22.586567,2
-4.5939913,5.440565,8.783068,2
-3.0189993,11.594154,22.634306,2
-1.5157179,0.43033198,-13.670656,2
0.08873943,22.27016,-4.301306,2
-1.3685596,0.23831095,-13.437023,2
-3.1108618,11.493771,22.56516,2
0.10533717,22.29736,-4.328113,2
1.7971354,-16.082777,1.1692821,2
1.9595723,-16.10517,1.2332982,2
-14.504132,-7.713866,-3.5386033,2
25.817944,0.50300795,2.515478,1
19.900658,-4.728089,8.177818,1
25.760614,0.44611898,2.4957647,1
11.100797,18.851877,13.420534,1
25.790806,0.47579026,2.4881377,1
-1.353163,0.6440397,-13.613493,2
19.752813,-4.6675344,8.069794,1
-1.339368,0.44850987,-13.500767,2
14.427141,-0.43303883,9.116439,1
17.01265,-1.8511086,17.599852,1
19.801334,-4.7169757,8.094285,1
1.9975156,-16.066738,1.3153352,2
17.017418,-1.8602027,17.553686,1
-4.47963,5.600103,8.651318,2
-14.495689,-7.7991257,-3.5771294,2
-4.5378222,5.600677,8.520455,2
-4.4346395,5.542558,8.691011,2
0.047085177,22.308004,-4.2906785,2
-1.2894884,0.5329661,-13.491589,2
-4.5283623,5.534077,8.67319,2
14.464218,-0.36842468,9.195171,1
-3.1426725,11.544067,22.549767,2
16.092896,7.0504603,3.4910305,1
-1.3036321,0.306641,-13.513533,2
11.177141,18.732038,13.576787,1
11.165416,-5.222423,9.917286,1
6.721801,12.820939,6.138108,1
17.789661,7.9385686,7.001506,1
-4.736961,14.295055,-0.034919478,2
-1.3555572,0.18419386,-13.573233,2
-1.5174218,0.26194036,-13.36788,2
2.5394738,-4.2709656,13.138902,2
17.805815,7.954039,7.016875,1
19.79141,-4.5979724,8.105247,1
-4.4437,5.5444283,8.68515,2
-1.4117362,0.50946075,-13.470171,2
11.26719,18.72284,13.407453,1
11.13892,18.617647,13.568068,1
-1.3022436,0.4676233,-13.208379,2
17.797243,7.9455247,7.0084,1
-14.601315,-7.82945,-3.5466967,2
-1.2802165,0.49691805,-13.279644,2
19.834423,-4.7270555,8.153323,1
19.848776,-4.6356463,8.178031,1
-1.2331108,0.49510637,-13.430658,2
-4.9659586,5.1215506,8.618872,2
19.8032,-4.6727552,8.126522,1
19.856304,-4.6648245,8.149518,1
11.6460085,-0.7458066,-8.81729,1
11.189067,18.802174,13.49141,1
-4.497826,5.5570683,8.746663,2
11.163713,-5.2241745,9.918993,1
-4.7168374,14.293497,-0.055004288,2
14.430129,-0.4581241,9.09764,1
0.98334557,-8.606653,-1.1055595,1
19.893385,-4.60669,8.120036,1
2.3586595,-5.722516,26.085161,2
16.997433,-1.8416185,17.576387,1
-4.588122,5.497751,8.603588,2
-1.4596076,0.36668417,-13.583875,2
-4.529009,5.7479267,8.568379,2
-1.5676628,0.51889366,-13.723928,2
25.823622,0.5085875,2.520803,1
-1.5683914,0.4930146,-13.653081,2
-4.4927845,5.6499324,8.551699,2
-14.521369,-7.746192,-3.5271373,2
