,silhouette_score,n_clusters,noise_points,ari_vs_hierarchical,ari_vs_optimal,ari_vs_kmeans
kmeans,0.46926185327018954,3.0,0.0,0.5843177787871006,0.45928811601663994,
hierarchical,0.4603149017172906,3.0,0.0,,0.552239746841617,0.5843177787871006
optimal,0.6908554670422186,9.0,0.0,0.552239746841617,,0.45928811601663994
